ts_epoch,ts,offset,step,score,monitor_id,monitor_name,rtt,leap,error
1765232598,2025-12-08 22:23:18,-0.000336012,1,20,310,usdfw1-762zq1,33.456,,
1765232593,2025-12-08 22:23:13,-0.000015252,1,20,112,usiad1-1tcp71g,34.048,,
1765232523,2025-12-08 22:22:03,0.002033258,1,20,308,ustul1-762zq1,32.308,,
1765232523,2025-12-08 22:22:03,0.002554066,1,20,318,uscls1-zqs0sd,90.623,,
1765232472,2025-12-08 22:21:12,-0.000832304,1,20,130,searn1-3strqkc,134.36,,
1765232468,2025-12-08 22:21:08,0.000671309,1,20,174,usmdw1-2trgvm8,38.39,,
1765232420,2025-12-08 22:20:20,-0.000023065,1,20,277,usdca1-3grrbhg,41.008,,
1765232419,2025-12-08 22:20:19,,1,20,24,recentmedian,,,
1765232419,2025-12-08 22:20:19,0.004005209,1,19.988327026,306,deham1-2zg3vnt,131.974,,
1765232418,2025-12-08 22:20:18,0.000313775,1,20,87,usewr3-1a6a7hp,38.112,,
1765232360,2025-12-08 22:19:20,-0.000396407,1,19.999969482,228,brqsc3-2w8zaf9,117.447,,
1765232351,2025-12-08 22:19:11,0.005532892,1,20,25,inblr1-1a6a7hp,258.122,,
1765232295,2025-12-08 22:18:15,-0.000584878,1,20,310,usdfw1-762zq1,33.899,,
1765232292,2025-12-08 22:18:12,0.001646012,1,20,282,twrmq2-2c0kgjp,203.482,,
1765232290,2025-12-08 22:18:10,-0.000273086,1,20,112,usiad1-1tcp71g,34.117,,
